pivot_w,rr,sl_points,max_trades_day,no_new_last_min,wait_open,dt_tol,db_tol,min_bars,max_bars,cooldown,trades,win_rate,profit_factor,total_return,monthly_return,max_dd,score
3,1.4,120.0,2,20,25,0.0008,0.0008,5,60,4,48,0.5,1.2823253840258138,0.014553247876426756,0.009849071569770107,-0.007678834196326645,2.2562076434189215
2,1.6,160.0,3,30,30,0.0015,0.001,5,30,6,56,0.4642857142857143,0.9271232664353091,-0.004369173881133559,-0.00296586638142049,-0.021911846579294014,1.5554868891258353
3,1.4,140.0,3,50,20,0.0008,0.0015,5,20,2,61,0.4262295081967213,0.896624087870658,-0.007531073941476785,-0.0051148272139356354,-0.018538530513442786,1.5252863310138451
3,1.6,150.0,3,40,25,0.001,0.0006,3,30,0,56,0.48214285714285715,1.1488055292291321,0.008723438409388162,0.005909175446404458,-0.011499242344477856,2.021486243348067
2,1.5,120.0,2,30,30,0.0006,0.0006,5,20,0,36,0.3611111111111111,0.6343842670215146,-0.017960099979004163,-0.012218503329923469,-0.019005054383593234,1.0097980475913249
2,1.4,140.0,2,20,20,0.001,0.0008,2,40,6,70,0.5,1.2278657815714689,0.01640968347038485,0.011102156137432484,-0.023099266330832036,2.1470203234716707
2,1.5,180.0,2,50,20,0.0015,0.0012,4,30,0,64,0.390625,0.7048553192048197,-0.02393736598557672,-0.016300822912288404,-0.03631802125227024,1.0489682679953007
2,1.4,130.0,1,40,10,0.0012,0.001,5,50,0,40,0.4,0.6695991811552643,-0.01767955955111411,-0.012027098077848852,-0.02190067325894529,1.0567779475564338
2,1.4,180.0,2,50,10,0.0008,0.0006,5,30,2,42,0.47619047619047616,0.7699478140998696,-0.010385786992794466,-0.007056903171284601,-0.018186646821365948,1.2743466148513318
2,1.4,130.0,3,50,15,0.0006,0.0008,2,60,2,64,0.5,1.210581749736882,0.014257456795479184,0.009649346004342751,-0.019882925657599082,2.1137698386944708
