ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_trades,is_monthly,is_mdd,is_pf,oos_trades,oos_monthly,oos_mdd,oos_pf,oos_win_rate,score
60,154,29,2.27,1.89,9,1.45,0.194,2,-0.005232161546568137,-0.005407906310641253,0.0,8,0.040128067852539306,-0.005327761165582867,3.4482013956948987,0.625,3.2845568487521613
36,247,20,1.27,1.88,31,1.61,0.1,12,-0.015084095539319775,-0.021450692216822165,0.3626511222614397,8,-0.019998878332783576,-0.012974364599374621,0.3736093435687086,0.25,0.5817637113955023
52,296,20,2.46,0.62,28,1.52,0.343,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
68,267,17,2.2,1.43,20,1.36,0.178,7,-0.010684440986922006,-0.011042304830897076,0.32464925335273037,8,-0.010992215996349142,-0.010825594482250622,0.6623938426873595,0.25,0.8660081209731527
75,181,26,1.27,1.26,26,0.89,0.283,0,0.0,0.0,,2,0.0005306056426952477,-0.0027438176216771915,1.0996956697196825,0.5,1.506595084039776
66,232,27,2.19,1.67,11,1.05,0.309,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
22,151,19,1.74,1.5,40,0.84,0.097,14,-0.01720114759669844,-0.027070417760614585,0.4089635937259687,4,-0.021157014356427584,-0.01063505942267573,0.0,0.0,0.08362480052621715
69,254,17,1.25,0.91,31,1.07,0.202,3,0.0028097135173623666,-0.0029197654301796883,1.9976944685124245,10,-0.021760758171760708,-0.016580435106195557,0.44013313420969263,0.3,0.6457533271644801
91,174,24,2.34,1.84,35,1.13,0.08,18,-0.023543074655634544,-0.03004945800969605,0.410839448559858,8,-0.009700443533846581,-0.010929003053714137,0.7043843544760539,0.25,0.9039403516824103
97,158,23,2.86,1.16,28,1.37,0.147,10,-0.008479134656648402,-0.011431030005356613,0.6141079643216708,12,-0.027234638143723733,-0.020584311400480115,0.5055069275238032,0.16666666666666666,0.5441258315736401
26,193,16,2.67,1.79,26,1.62,0.176,4,-0.010362324245996701,-0.010709457637638753,0.0,5,-0.026430271963689522,-0.013303629257556016,0.0,0.0,0.04451654475146044
21,248,24,2.45,1.07,9,1.31,0.06,36,-0.010927916235120572,-0.039566818823796646,0.8528006484973278,24,-0.02393492100561556,-0.02069610873024108,0.76702411304395,0.2916666666666667,0.9056440699041026
39,124,14,2.02,1.37,29,1.89,0.084,19,-0.029274328959275175,-0.039656896934551655,0.32415409364992576,8,-0.028733314219556605,-0.014471367346212793,0.25289612169027825,0.125,0.3382793683709605
49,239,23,2.14,0.85,24,1.18,0.212,1,0.004980794000319477,0.0,,8,0.001987399723875738,-0.008559346011915325,1.073347146107929,0.375,1.36481921435319
44,222,18,1.48,1.77,11,0.99,0.32,1,-0.0025626029081043944,-0.002648798389554896,0.0,0,0.0,0.0,,0.0,0.24
56,194,15,3.03,0.76,24,1.37,0.199,4,-0.001014342992649797,-0.008316820118873913,0.878815254881576,9,-0.0100614103448331,-0.014261262032628896,0.7487720368219714,0.2222222222222222,0.8924596695949913
95,211,30,1.22,0.79,38,2.02,0.229,1,0.0026932443014331398,0.0,,3,0.005233171087175137,-0.002910200294385268,1.9008462622414428,0.6666666666666666,2.3016614251201055
31,172,16,2.35,1.77,28,1.34,0.206,3,-0.007722386417518878,-0.007981439991507355,0.0,5,-0.010004056652259452,-0.005438073199053317,0.5363037024438597,0.2,0.7621888164202902
83,249,20,1.57,0.73,33,0.9,0.301,1,0.0035617400278058486,0.0,,2,-0.01153528486690869,-0.005784371912666342,0.0,0.0,0.15425055189770115
30,283,26,2.64,1.45,31,2.11,0.27,0,0.0,0.0,,2,-0.010818261178960342,-0.005423839607524239,0.0,0.0,0.16000290509063136
52,155,24,1.72,1.43,24,1.49,0.229,2,0.001344831845889738,-0.0027617640834817214,1.5075221276590625,3,-0.002604189906804666,-0.005419969561203275,0.7627063123276823,0.3333333333333333,1.0730552004119676
92,275,11,1.41,0.71,24,1.38,0.261,5,0.00988004137631493,-0.0029099691461945687,4.501181791163012,5,-0.01623605643967896,-0.011400063698426277,0.28703313173474326,0.2,0.49014843670833524
61,144,16,1.35,0.71,37,0.81,0.081,18,-0.011269054740236872,-0.02370291774613431,0.6440006876568081,15,-0.038466144002796465,-0.022447530027607576,0.3811309529041223,0.26666666666666666,0.47479327942458477
63,168,26,3.1,1.22,19,1.56,0.312,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
27,268,26,2.52,1.57,13,2.17,0.321,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
31,262,18,3.09,0.66,17,1.62,0.35,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
45,205,16,1.27,1.58,16,1.07,0.085,25,-0.018257083409176866,-0.027566355543543808,0.5810820734963373,16,-0.00790819562097489,-0.013658430142850952,0.8430415003652546,0.4375,1.17686630999883
78,201,29,2.89,1.05,24,1.71,0.159,5,-0.0044239198922549905,-0.011528672936874207,0.6077657387608689,13,-0.014326349777644687,-0.021032130966357365,0.748592600400046,0.23076923076923078,0.8412603514273171
79,164,11,2.97,1.34,33,1.81,0.07,20,-0.035057849374105055,-0.03795279519680883,0.28459134135206643,12,0.01387491794251483,-0.010779964486982374,1.3209592150632063,0.3333333333333333,1.572693994591432
34,239,26,2.28,1.53,20,1.68,0.316,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
61,227,11,1.25,1.82,37,0.8,0.106,15,-0.023163498320704634,-0.03262411378170804,0.2703969608906957,11,-0.0027443735622491028,-0.010787456324551137,0.9174829253280435,0.45454545454545453,1.2770122257200598
37,279,12,1.34,0.61,36,1.87,0.171,5,-0.0020044226776544383,-0.00806885550509473,0.7461294605343629,6,-0.022303009459257006,-0.014275973578979917,0.2163182021528276,0.16666666666666666,0.36296806858672803
76,135,21,3.17,1.68,32,1.27,0.207,2,-0.005198464781525303,-0.005373080753649728,0.0,5,0.01510555796198032,-0.005344156548821255,1.9339469424694091,0.4,2.1414932000995455
84,296,12,2.13,1.02,11,1.8,0.227,6,-0.0007298090962916115,-0.0055811116339071765,0.935230543801372,9,-0.018179668413404793,-0.014233510516178938,0.5308839125577528,0.2222222222222222,0.6858981500409294
67,300,23,1.29,0.75,31,0.97,0.337,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
