ema_fast,ema_slow,breakout_len,atr_len,atr_sl_mult,rr,vol_len,vol_factor,is_monthly,is_mdd,is_pf,is_trades,oos_monthly,oos_mdd,oos_pf,oos_trades,oos_win
17,93,44,10,2.31,2.54,15,0.9,-0.012418444270627438,-0.038961770221631276,0.42091453048942656,26,-0.004456982363163164,-0.009549323285345523,0.7850583807609677,12,0.25
41,148,21,21,2.21,2.15,28,1.21,-0.0015423317643503687,-0.023955978250351673,0.9124712054470391,25,0.004388032344391002,-0.00791432519140678,1.3258348129783737,10,0.4
27,53,17,14,2.05,3.24,26,1.38,-0.0026857939281900167,-0.023699205551394376,0.9007948104161146,34,0.002154094053094191,-0.018364749447206563,1.1234895740098065,11,0.2727272727272727
27,48,8,22,1.86,2.01,9,1.16,-0.00880018969993468,-0.027293037196010395,0.8117152525461643,67,-0.0050313920510002275,-0.016200831713887864,0.8566455052780184,22,0.3181818181818182
21,60,12,12,1.5,2.52,29,1.58,0.0002381514918563532,-0.02201629468135924,1.0121706731018545,44,0.012960718890644207,-0.013375389188970965,1.702832805509594,14,0.42857142857142855
26,165,30,24,1.62,2.43,16,1.34,-0.009150207760436735,-0.03433850202939459,0.6237683316377146,31,0.018689346102429116,-0.002721918306737514,3.7180691874830236,8,0.625
34,156,16,29,1.9,2.21,33,1.33,-0.0022625268621035977,-0.029399082872478166,0.900518945377039,32,0.004879352191341724,-0.007871776860162494,1.3615662148529897,10,0.4
43,99,18,13,2.35,1.48,24,1.21,-0.0002649139058646943,-0.017598339916932604,0.9896686045160693,35,0.0016728521002928876,-0.013050418039741163,1.1261963079229407,11,0.45454545454545453
47,188,19,30,0.98,1.54,34,1.7,0.0047053040272160285,-0.016537135135457404,1.212803941481521,42,0.0001277962137344879,-0.011940283272392826,1.0091727133700161,16,0.4375
15,137,19,20,1.93,1.62,24,1.22,0.0034129981296664447,-0.01397297919164786,1.157766233984722,40,0.001715761150600903,-0.014519579867352972,1.0972957925961844,14,0.42857142857142855
37,178,9,29,2.05,1.4,33,0.87,-0.0056498320741337205,-0.018852485093347915,0.7984148351517922,46,-0.0001354377048011779,-0.013047748015443172,0.9963416365239136,16,0.4375
20,79,18,11,2.02,1.91,31,1.74,0.0024062916476699225,-0.01696863184127706,1.109494541746486,38,-0.0005647396922281445,-0.013612643931613322,0.9757847990194985,14,0.35714285714285715
